timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-09-26 08:02:20,0.01,905.2,88.40,24,healthy
2025-09-26 08:02:26,0.01,905.3,88.41,24,healthy
2025-09-26 08:02:32,65.69,93.66,9.15,157,healthy
2025-09-26 08:02:38,101.99,784.5,76.61,120,healthy
2025-09-26 08:02:43,0.02,874.5,85.40,26,healthy
2025-09-26 08:02:49,0.01,874.5,85.40,160,healthy
2025-09-26 08:02:55,0.02,31.48,3.07,25,healthy
2025-09-26 08:03:00,0.01,31.56,3.08,26,healthy
2025-09-26 08:03:06,103.89,399.3,38.99,208,healthy
2025-09-26 08:03:12,0.00,4.52,0.44,47,healthy
2025-09-26 08:03:18,8.95,31.73,3.10,24,healthy
2025-09-26 08:03:23,9.80,31.74,3.10,25,healthy
2025-09-26 08:03:29,102.54,368.7,36.01,148,healthy
2025-09-26 08:03:35,102.65,976.5,95.36,317,unhealthy
2025-09-26 08:03:41,0.01,31.48,3.07,41,healthy
2025-09-26 08:03:47,15.69,71.91,7.02,25,healthy
2025-09-26 08:03:53,101.99,703,68.65,173,healthy
2025-09-26 08:03:58,0.01,31.43,3.07,29,healthy
2025-09-26 08:04:04,0.01,31.5,3.08,25,healthy
2025-09-26 08:04:10,102.09,434.1,42.39,212,healthy
2025-09-26 08:04:16,0.00,18.54,1.81,26,healthy
2025-09-26 08:04:21,103.68,358.9,35.05,102,healthy
2025-09-26 08:04:27,8.57,588.3,57.45,26,healthy
2025-09-26 08:04:33,0.01,588.3,57.45,24,healthy
2025-09-26 08:04:38,99.51,799.6,78.09,102,healthy
2025-09-26 08:04:44,0.01,31.48,3.07,25,healthy
2025-09-26 08:04:50,0.02,31.57,3.08,25,healthy
2025-09-26 08:04:56,103.02,523.1,51.08,387,healthy
2025-09-26 08:05:02,0.00,,,43,unhealthy
2025-09-26 08:05:08,0.02,56.8,5.55,27,healthy
2025-09-26 08:05:13,8.07,56.85,5.55,60,healthy
2025-09-26 08:05:19,104.01,330.3,32.26,208,healthy
2025-09-26 08:05:25,83.15,817.5,79.83,207,healthy
2025-09-26 08:05:31,0.02,31.47,3.07,24,healthy
2025-09-26 08:05:37,0.01,31.55,3.08,35,healthy
2025-09-26 08:05:42,103.37,534.6,52.21,178,healthy
2025-09-26 08:05:48,0.00,17.37,1.70,26,healthy
2025-09-26 08:05:54,9.05,31.53,3.08,29,healthy
2025-09-26 08:06:00,102.86,188.6,18.42,250,healthy
2025-09-26 08:06:06,102.78,588,57.42,162,healthy
2025-09-26 08:06:12,20.42,31.36,3.06,26,healthy
2025-09-26 08:06:17,0.01,31.47,3.07,25,healthy
2025-09-26 08:06:23,104.18,278.6,27.21,258,healthy
2025-09-26 08:06:29,104.62,885,86.43,117,healthy
2025-09-26 08:06:35,0.02,31.46,3.07,25,healthy
2025-09-26 08:06:41,0.02,31.55,3.08,308,healthy
2025-09-26 08:06:47,102.25,719.2,70.23,140,healthy
2025-09-26 08:06:53,101.97,231.5,22.61,155,healthy
2025-09-26 08:06:58,0.01,648.8,63.36,28,healthy
2025-09-26 08:07:04,0.02,648.9,63.37,26,healthy
2025-09-26 08:07:10,107.99,782.2,76.39,160,healthy
2025-09-26 08:07:15,0.02,31.46,3.07,25,healthy
2025-09-26 08:07:21,0.02,31.54,3.08,24,healthy
2025-09-26 08:07:27,101.20,530.3,51.79,132,healthy
2025-09-26 08:07:33,0.00,18.5,1.81,26,healthy
2025-09-26 08:07:38,9.48,31.54,3.08,27,healthy
2025-09-26 08:07:44,102.19,223.1,21.79,147,healthy
2025-09-26 08:07:50,103.24,872.1,85.17,165,healthy
2025-09-26 08:07:56,0.02,31.45,3.07,25,healthy
2025-09-26 08:08:02,0.08,31.62,3.09,328,healthy
2025-09-26 08:08:08,101.47,539.5,52.69,338,healthy
2025-09-26 08:08:12,0.00,11,100.00,16,unhealthy
2025-09-26 08:08:18,0.01,46.51,4.54,24,healthy
2025-09-26 08:08:24,8.69,46.57,4.55,24,healthy
2025-09-26 08:08:30,102.70,378.6,36.97,212,healthy
2025-09-26 08:08:36,101.79,1023,99.90,15,unhealthy
2025-09-26 08:08:41,0.01,31.46,3.07,24,healthy
2025-09-26 08:08:47,81.05,129.1,12.61,148,healthy
2025-09-26 08:08:53,103.09,833.7,81.42,311,healthy
2025-09-26 08:08:59,0.01,31.4,3.07,26,healthy
2025-09-26 08:09:05,0.02,31.48,3.07,336,healthy
2025-09-26 08:09:11,99.84,689.5,67.33,87,healthy
2025-09-26 08:09:17,0.02,31.33,3.06,25,healthy
2025-09-26 08:09:22,0.01,31.55,3.08,24,healthy
2025-09-26 08:09:28,0.01,31.55,3.08,24,healthy
2025-09-26 08:09:34,99.87,469.4,45.84,400,healthy
2025-09-26 08:09:40,0.00,2.047,0.20,41,unhealthy
2025-09-26 08:09:46,3.49,31.43,3.07,26,healthy
2025-09-26 08:09:51,29.93,77.26,7.54,157,healthy
2025-09-26 08:09:57,102.14,748.2,73.07,24,healthy
2025-09-26 08:10:04,166.50,943.5,92.14,236,healthy
2025-09-26 08:10:09,0.01,31.4,3.07,24,healthy
2025-09-26 08:10:15,25.51,87.5,8.54,98,healthy
2025-09-26 08:10:21,102.21,675.2,65.94,161,healthy
2025-09-26 08:10:27,0.01,31.39,3.07,25,healthy
2025-09-26 08:10:32,99.43,418.4,40.86,115,healthy
2025-09-26 08:10:38,0.02,638.4,62.34,25,healthy
2025-09-26 08:10:44,0.01,638.5,62.35,25,healthy
2025-09-26 08:10:49,102.85,1014,99.02,16,unhealthy
2025-09-26 08:10:55,0.01,31.4,3.07,24,healthy
2025-09-26 08:11:01,23.87,41.93,4.09,63,healthy
2025-09-26 08:11:07,103.03,461.8,45.10,549,healthy
2025-09-26 08:11:13,0.00,25.62,2.50,26,healthy
2025-09-26 08:11:19,11.46,31.46,3.07,25,healthy
2025-09-26 08:11:24,102.56,193.2,18.87,139,healthy
2025-09-26 08:11:30,102.35,801.6,78.28,142,healthy
2025-09-26 08:11:36,0.02,31.38,3.06,24,healthy
2025-09-26 08:11:42,0.02,31.47,3.07,371,healthy
2025-09-26 08:11:48,101.66,695.8,67.95,150,healthy
2025-09-26 08:11:54,74.70,147.3,14.38,58,healthy
2025-09-26 08:11:59,0.02,633.3,61.85,25,healthy
2025-09-26 08:12:05,0.01,633.4,61.86,24,healthy
2025-09-26 08:12:11,101.70,906.8,88.55,342,healthy
2025-09-26 08:12:17,102.10,288.1,28.13,78,healthy
2025-09-26 08:12:23,0.02,588.5,57.47,24,healthy
2025-09-26 08:12:28,0.02,588.5,57.47,25,healthy
2025-09-26 08:12:34,104.64,799.5,78.08,261,healthy
2025-09-26 08:12:39,17.47,29.61,2.89,32,healthy
2025-09-26 08:12:44,0.03,29.75,2.91,25,healthy
2025-09-26 08:12:50,101.90,411.2,40.16,145,healthy
2025-09-26 08:12:56,0.00,11,100.00,16,unhealthy
2025-09-26 08:13:02,5.70,44.77,4.37,99,healthy
2025-09-26 08:13:08,9.90,44.83,4.38,24,healthy
2025-09-26 08:13:13,96.81,181.5,17.72,277,healthy
2025-09-26 08:13:19,104.75,847.2,82.73,137,healthy
2025-09-26 08:13:25,0.02,29.66,2.90,25,healthy
2025-09-26 08:13:31,0.01,29.73,2.90,25,healthy
2025-09-26 08:13:36,104.24,609.6,59.53,179,healthy
2025-09-26 08:13:42,38.28,29.63,2.89,26,healthy
2025-09-26 08:13:48,5.59,29.77,2.91,26,healthy
2025-09-26 08:13:54,100.25,256.3,25.03,286,healthy
2025-09-26 08:14:00,104.54,907.4,88.61,229,healthy
2025-09-26 08:14:06,0.02,29.71,2.90,25,healthy
2025-09-26 08:14:12,7.56,40.18,3.92,35,healthy
2025-09-26 08:14:17,103.64,518.1,50.60,82,healthy
2025-09-26 08:14:23,4.55,1000,97.66,25,healthy
2025-09-26 08:14:29,0.01,1000,97.66,25,healthy
2025-09-26 08:14:34,0.00,11,100.00,16,unhealthy
2025-09-26 08:14:40,0.02,29.69,2.90,28,healthy
2025-09-26 08:14:46,103.56,241.9,23.62,130,healthy
2025-09-26 08:14:52,87.93,787.2,76.88,193,healthy
2025-09-26 08:14:57,3.61,39.88,3.89,24,healthy
2025-09-26 08:15:03,0.14,39.92,3.90,55,healthy
2025-09-26 08:15:09,58.89,121,11.82,194,healthy
2025-09-26 08:15:15,102.90,794.2,77.56,318,healthy
2025-09-26 08:15:21,0.02,29.69,2.90,26,healthy
2025-09-26 08:15:26,0.02,29.77,2.91,25,healthy
2025-09-26 08:15:32,103.40,609.3,59.50,264,healthy
2025-09-26 08:15:38,0.01,29.6,2.89,25,healthy
2025-09-26 08:15:44,102.36,426.4,41.64,127,healthy
2025-09-26 08:15:50,0.01,601.6,58.75,25,healthy
2025-09-26 08:15:55,0.02,601.6,58.75,315,healthy
2025-09-26 08:16:02,0.00,11,100.00,38,unhealthy
2025-09-26 08:16:07,0.01,29.68,2.90,25,healthy
2025-09-26 08:16:13,6.89,70.47,6.88,35,healthy
2025-09-26 08:16:19,102.27,640.8,62.58,172,healthy
2025-09-26 08:16:24,1.17,29.61,2.89,25,healthy
2025-09-26 08:16:30,102.79,506.5,49.46,113,healthy
2025-09-26 08:16:36,0.01,631.6,61.68,25,healthy
2025-09-26 08:16:41,0.01,631.6,61.68,24,healthy
2025-09-26 08:16:47,0.00,5.879,0.57,24,healthy
2025-09-26 08:16:53,9.43,29.75,2.91,25,healthy
2025-09-26 08:16:58,9.10,29.78,2.91,25,healthy
2025-09-26 08:17:05,113.85,335,32.71,220,healthy
2025-09-26 08:17:11,102.57,961.3,93.88,105,unhealthy
2025-09-26 08:17:16,0.02,31.34,3.06,24,healthy
2025-09-26 08:17:22,15.62,52.45,5.12,126,healthy
2025-09-26 08:17:28,101.95,701.8,68.54,103,healthy
2025-09-26 08:17:34,0.01,31.99,3.12,25,healthy
2025-09-26 08:17:39,0.01,32.22,3.15,41,healthy
2025-09-26 08:17:45,0.02,32.24,3.15,354,healthy
2025-09-26 08:17:51,102.25,754.1,73.64,96,healthy
2025-09-26 08:17:57,101.60,248.1,24.23,125,healthy
2025-09-26 08:18:03,0.02,623.8,60.92,106,healthy
2025-09-26 08:18:08,0.02,623.8,60.92,27,healthy
2025-09-26 08:18:15,103.87,932.2,91.04,385,healthy
2025-09-26 08:18:20,0.96,32.05,3.13,28,healthy
2025-09-26 08:18:26,0.03,32.1,3.13,25,healthy
2025-09-26 08:18:32,104.02,248.5,24.27,171,healthy
2025-09-26 08:18:38,101.67,832.1,81.26,320,healthy
2025-09-26 08:18:43,0.01,31.87,3.11,25,healthy
2025-09-26 08:18:49,0.02,31.96,3.12,293,healthy
2025-09-26 08:18:55,101.25,647.3,63.21,140,healthy
2025-09-26 08:19:01,46.57,31.36,3.06,28,healthy
2025-09-26 08:19:06,0.69,31.51,3.08,23,healthy
2025-09-26 08:19:12,101.03,314.6,30.72,198,healthy
2025-09-26 08:19:18,99.91,971.7,94.89,99,unhealthy
2025-09-26 08:19:24,104.55,322.8,31.52,112,healthy
2025-09-26 08:19:29,0.01,593.4,57.95,37,healthy
2025-09-26 08:19:35,2.72,593.4,57.95,24,healthy
2025-09-26 08:19:41,106.18,804.7,78.58,202,healthy
2025-09-26 08:19:45,20.16,36.48,3.56,24,healthy
2025-09-26 08:19:51,0.01,36.68,3.58,24,healthy
2025-09-26 08:19:57,0.02,36.69,3.58,24,healthy
2025-09-26 08:20:03,311.72,278.9,27.24,355,healthy
2025-09-26 08:20:09,83.51,737.3,72.00,24,healthy
2025-09-26 08:20:15,5.45,748.8,73.12,25,healthy
2025-09-26 08:20:20,0.02,748.9,73.13,28,healthy
2025-09-26 08:20:26,0.00,2.555,0.25,17,unhealthy
2025-09-26 08:20:32,0.10,31.47,3.07,24,healthy
2025-09-26 08:20:37,28.85,32.1,3.13,25,healthy
2025-09-26 08:20:44,98.93,676.8,66.09,175,healthy
2025-09-26 08:20:50,0.01,31.44,3.07,24,healthy
2025-09-26 08:20:55,0.01,31.55,3.08,24,healthy
2025-09-26 08:21:02,8.44,41.91,4.09,946,healthy
2025-09-26 08:21:08,100.31,585.8,57.21,98,healthy
2025-09-26 08:21:13,0.00,16.45,1.61,25,healthy
2025-09-26 08:21:19,9.37,41.52,4.05,24,healthy
2025-09-26 08:21:25,12.40,41.54,4.06,24,healthy
2025-09-26 08:21:31,102.86,520.4,50.82,174,healthy
2025-09-26 08:21:37,87.03,929.8,90.80,309,unhealthy
2025-09-26 08:21:42,0.02,31.38,3.06,25,healthy
2025-09-26 08:21:48,64.31,137.7,13.45,81,healthy
2025-09-26 08:21:54,104.41,784.2,76.58,305,healthy
2025-09-26 08:21:58,14.11,31.3,3.06,71,healthy
2025-09-26 08:22:04,0.02,31.75,3.10,25,healthy
2025-09-26 08:22:10,0.01,31.77,3.10,25,healthy
2025-09-26 08:22:16,103.33,440.4,43.01,517,healthy
2025-09-26 08:22:22,0.00,13.98,1.37,26,healthy
2025-09-26 08:22:27,9.16,31.65,3.09,28,healthy
2025-09-26 08:22:33,8.28,31.65,3.09,25,healthy
2025-09-26 08:22:39,100.53,213,20.80,252,healthy
2025-09-26 08:22:45,104.97,702.2,68.57,488,healthy
2025-09-26 08:22:50,21.90,56.44,5.51,102,healthy
2025-09-26 08:22:55,59.23,668.3,65.26,24,healthy
2025-09-26 08:23:01,0.01,668.4,65.27,119,healthy
2025-09-26 08:23:07,99.96,786.1,76.77,148,healthy
